,Pit_Age_Years,pH,Dissolved_Oxygen_mg_L,Turbidity_NTU,TDS_mg_L,Iron_mg_L,Manganese_mg_L
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,21.833333333333332,5.194999999999999,6.389166666666667,19.016666666666666,345.8333333333333,2.9516666666666667,0.6416666666666667
std,17.15084590192318,0.937806919457208,0.6626456386517928,9.78708177635038,85.56850879248567,1.6694355787256814,0.3498008091194274
min,2.0,3.82,5.35,6.8,225.0,0.82,0.19
25%,8.25,4.4625,5.9,11.075,278.75,1.605,0.36
50%,18.0,5.225,6.435,17.549999999999997,342.5,2.715,0.595
75%,32.0,5.9399999999999995,6.922499999999999,25.7,411.25,4.15,0.89
max,55.0,6.55,7.3,36.5,480.0,5.8,1.25
